item_id,date,p10,p50,p90
express_rail_link_west_kowloon,2024-06-04T00:00:00Z,22763.919366841503,32278.552241785233,47272.60207650428
express_rail_link_west_kowloon,2024-06-05T00:00:00Z,22277.058438695334,32204.637479080997,44273.514713916185
express_rail_link_west_kowloon,2024-06-06T00:00:00Z,23171.579582543432,32320.36012577483,44276.74370495344
express_rail_link_west_kowloon,2024-06-07T00:00:00Z,26474.901841895233,36186.61958185214,49372.9624935756
express_rail_link_west_kowloon,2024-06-08T00:00:00Z,28289.676236104497,42636.61051519026,56674.604788411496
express_rail_link_west_kowloon,2024-06-09T00:00:00Z,32450.60333050462,46183.3935600018,60586.24226967628
express_rail_link_west_kowloon,2024-06-10T00:00:00Z,26140.373826033396,35472.98142916207,51320.54114606549
express_rail_link_west_kowloon,2024-06-11T00:00:00Z,22202.00162220256,31860.7584863054,45047.67488919565
express_rail_link_west_kowloon,2024-06-12T00:00:00Z,21394.46526694757,30923.584934256698,43759.429249879206
express_rail_link_west_kowloon,2024-06-13T00:00:00Z,21634.83654028939,32039.71417447875,44411.47680976457
express_rail_link_west_kowloon,2024-06-14T00:00:00Z,24486.521060510615,35467.820979271666,50333.76512627551
express_rail_link_west_kowloon,2024-06-15T00:00:00Z,27161.43310814623,44462.62811746451,57278.356222087896
express_rail_link_west_kowloon,2024-06-16T00:00:00Z,32745.168180432738,43926.26080887181,59298.90735846581
express_rail_link_west_kowloon,2024-06-17T00:00:00Z,24838.43420080775,34732.31584279051,49827.32218662556
